Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	turnover
0	-218793	-218533	-259.065	0.0610836	0.2162516	0.01200481	0.8034692	0.04907879	0.1965308
10	-112763	-112565	-197.445	2.306247	0.03812241	2.257168	0.02128081	0.04907879	0.9787192
20	-49113.4	-48969.7	-143.729	245.7535	0.001695776	245.7045	0.0001997074	0.04907879	0.9998003
30	-47199.1	-47030.2	-168.844	130.8468	0.0009738651	130.7977	0.0003750858	0.04907879	0.9996249
40	-46403.9	-46213.7	-190.222	20.88841	0.0006835593	20.83933	0.002349571	0.04907879	0.9976504
50	-46104.9	-45894	-210.817	1.296504	0.0005781478	1.247425	0.03785472	0.04907879	0.9621453
60	-46054.4	-45838.9	-215.503	0.2152435	0.0005324223	0.1661647	0.2280152	0.04907879	0.7719848
70	-46033.2	-45813.4	-219.805	0.4375657	0.0005057258	0.3884869	0.1121633	0.04907879	0.8878367
80	-46015.5	-45794.9	-220.595	0.3744976	0.0004912321	0.3254188	0.1310523	0.04907879	0.8689477
90	-46012.4	-45790.5	-221.927	0.3460231	0.0004852714	0.2969443	0.1418368	0.04907879	0.8581632
100	-46009.9	-45788.7	-221.207	0.3750478	0.0004913854	0.325969	0.1308601	0.04907879	0.8691399
110	-46014.1	-45794.1	-219.992	0.1673964	0.0004908057	0.1183176	0.2931891	0.04907879	0.7068109
120	-46010.1	-45788.4	-221.695	0.333614	0.000476797	0.2845353	0.1471125	0.04907879	0.8528875
130	-46009.2	-45785.3	-223.931	0.3388343	0.0004716152	0.2897555	0.144846	0.04907879	0.855154
140	-46010.1	-45785.9	-224.248	0.2205738	0.0004669926	0.171495	0.2225051	0.04907879	0.7774949
150	-46019.4	-45798.2	-221.272	0.1627734	0.0004632579	0.1136946	0.3015161	0.04907879	0.6984839
160	-46018.8	-45793.1	-225.769	0.1092281	0.0004704502	0.0601493	0.4493239	0.04907879	0.5506761
